lon,lat,doserate
103.4452278,4.28826667,0.141
103.4452528,4.288255556,1.128
103.4452528,4.288244444,0.125
103.4452722,4.288266667,0.167
103.4452722,4.288244444,0.137
103.4452306,4.288266667,0.18
103.4452306,4.288280556,0.144
103.4452528,4.288280556,0.17
103.445275,4.288280556,0.15
103.4452278,4.288327778,0.098
103.44525,4.288325,0.093
103.4452722,4.288327778,0.099
103.4452306,4.288294444,0.115
103.4452528,4.288297222,0.105
103.445275,4.288297222,0.097
103.4452889,4.288266667,0.15
103.4452889,4.288244444,0.139
103.4452889,4.288230556,0.128
103.445275,4.288230556,0.18
103.4452528,4.288230556,0.181
103.4452306,4.288247222,0.167
103.4452167,4.288247222,0.183
103.4452778,4.288208333,0.135
103.4452528,4.288208333,0.154
103.4452306,4.288205556,0.145
103.4452472,4.288227778,0.11
103.445175,4.288227778,0.118
103.4452111,4.288208333,0.111
103.4451917,4.288208333,0.114
103.445175,4.288208333,0.127
