Lat,Lon,Bq/cm2,,,,,Average,,
2.89795,101.754386,0.240,0.254,0.249,0.240,0.240,0.245,,
2.897964,101.754476,0.328,0.324,0.332,0.332,0.324,0.328,,
2.898008,101.754563,0.275,0.267,0.267,0.267,0.264,0.268,,
2.898019,101.754653,0.236,0.229,0.229,0.234,0.234,0.232,,
2.898047,101.754728,0.330,0.339,0.335,0.330,0.330,0.333,,
2.898064,101.754825,0.304,0.304,0.291,0.295,0.291,0.297,,
2.898146,101.754865,0.328,0.328,0.328,0.332,0.337,0.331,,
2.898233,101.754847,0.224,0.216,0.221,0.216,0.210,0.217,,
2.898215,101.754756,0.402,0.392,0.402,0.402,0.392,0.398,,
2.898184,101.754673,0.424,0.420,0.429,0.427,0.407,0.421,,
2.89815,101.754588,0.387,0.394,0.398,0.400,0.405,0.397,,
2.898126,101.754510,0.446,0.442,0.444,0.442,0.438,0.442,,
2.898099,101.754410,0.476,0.468,0.475,0.472,0.502,0.479,,
2.898075,101.754330,0.409,0.402,0.409,0.409,0.407,0.407,,
2.897988,101.754300,0.359,0.365,0.365,0.365,0.372,0.365,,
