lat,lon,dose,,,,,,Bq/cm2,,,,
2.89795,101.754386,0.245,,,,,,0.240,0.254,0.249,0.240,0.240
2.897964,101.754476,0.328,,,,,,0.328,0.324,0.332,0.332,0.324
2.898008,101.754563,0.268,,,,,,0.275,0.267,0.267,0.267,0.264
2.898019,101.754653,0.232,,,,,,0.236,0.229,0.229,0.234,0.234
2.898047,101.754728,0.333,,,,,,0.330,0.339,0.335,0.330,0.330
2.898064,101.754825,0.297,,,,,,0.304,0.304,0.291,0.295,0.291
2.898146,101.754865,0.331,,,,,,0.328,0.328,0.328,0.332,0.337
2.898233,101.754847,0.217,,,,,,0.224,0.216,0.221,0.216,0.210
2.898215,101.754756,0.398,,,,,,0.402,0.392,0.402,0.402,0.392
2.898184,101.754673,0.421,,,,,,0.424,0.420,0.429,0.427,0.407
2.89815,101.754588,0.397,,,,,,0.387,0.394,0.398,0.400,0.405
2.898126,101.754510,0.442,,,,,,0.446,0.442,0.444,0.442,0.438
2.898099,101.754410,0.479,,,,,,0.476,0.468,0.475,0.472,0.502
2.898075,101.754330,0.407,,,,,,0.409,0.402,0.409,0.409,0.407
2.897988,101.754300,0.365,,,,,,0.359,0.365,0.365,0.365,0.372
