lat,lon,dose
2.897491667,101.7535806,0.274
2.8975,101.7536722,0.355
2.897519444,101.7537722,0.2905
2.897525,101.7538556,0.385
2.897433333,101.7538722,0.4075
2.897330556,101.7538806,0.321
2.897238889,101.7536,0.4455
2.89723889,101.7539,0.502667
2.897133333,101.7539056,0.5155
2.897704167,101.7539083,0.3935
2.89695,101.7539056,0.426
2.896955556,101.7538167,0.4405
2.896941667,101.7537167,0.1775
2.89695,101.753625,0.497
2.897033333,101.7536056,0.343
2.897133333,101.7535972,0.3925
2.897230556,101.7535917,0.381
2.897422222,101.7535972,0.2855
